timestamp,source_ip,dest_ip,port,protocol,bytes,failed_login,event_type
2026-02-17T02:56:25.393121,144.247.30.207,192.168.1.4,80,TCP,2921,0,connection
2026-02-17T02:56:25.393121,144.247.30.207,192.168.1.4,80,TCP,1946,0,connection
2026-02-17T02:56:25.393121,144.247.30.207,192.168.1.4,80,TCP,238,0,connection
2026-02-17T02:56:26.393121,144.247.30.207,192.168.1.4,80,TCP,3996,0,connection
2026-02-17T02:56:26.393121,144.247.30.207,192.168.1.4,80,TCP,2802,0,connection
2026-02-17T02:56:26.393121,144.247.30.207,192.168.1.4,80,TCP,774,0,connection
2026-02-17T02:56:27.393121,144.247.30.207,192.168.1.4,80,TCP,508,0,connection
2026-02-17T02:56:27.393121,144.247.30.207,192.168.1.4,80,TCP,1894,0,connection
2026-02-17T02:56:27.393121,144.247.30.207,192.168.1.4,80,TCP,885,0,connection
2026-02-17T02:56:27.393121,144.247.30.207,192.168.1.4,80,TCP,2441,0,connection
2026-02-17T02:56:27.393121,144.247.30.207,192.168.1.4,80,TCP,1517,0,connection
2026-02-17T02:56:27.393121,144.247.30.207,192.168.1.4,80,TCP,3268,0,connection
2026-02-17T02:56:27.393121,144.247.30.207,192.168.1.4,80,TCP,660,0,connection
2026-02-17T02:56:28.393121,144.247.30.207,192.168.1.4,80,TCP,3082,0,connection
2026-02-17T02:56:28.393121,144.247.30.207,192.168.1.4,80,TCP,3148,0,connection
2026-02-17T02:56:28.393121,144.247.30.207,192.168.1.4,80,TCP,4970,0,connection
2026-02-17T02:56:28.393121,144.247.30.207,192.168.1.4,80,TCP,4934,0,connection
2026-02-17T02:56:29.393121,144.247.30.207,192.168.1.4,80,TCP,1551,0,connection
2026-02-17T02:56:29.393121,144.247.30.207,192.168.1.4,80,TCP,471,0,connection
2026-02-17T02:56:29.393121,144.247.30.207,192.168.1.4,80,TCP,3264,0,connection
2026-02-17T02:56:29.393121,144.247.30.207,192.168.1.4,80,TCP,3240,0,connection
2026-02-17T02:56:29.393121,144.247.30.207,192.168.1.4,80,TCP,300,0,connection
2026-02-17T02:56:30.393121,144.247.30.207,192.168.1.4,80,TCP,3702,0,connection
2026-02-17T02:56:30.393121,144.247.30.207,192.168.1.4,80,TCP,719,0,connection
2026-02-17T02:56:33.393121,144.247.30.207,192.168.1.4,80,TCP,294,0,connection
2026-02-17T02:56:33.393121,144.247.30.207,192.168.1.4,80,TCP,945,0,connection
2026-02-17T02:56:34.393121,144.247.30.207,192.168.1.4,80,TCP,2369,0,connection
2026-02-17T02:56:34.393121,144.247.30.207,192.168.1.4,80,TCP,3644,0,connection
2026-02-17T02:56:34.393121,144.247.30.207,192.168.1.4,80,TCP,4643,0,connection
2026-02-17T02:56:34.393121,144.247.30.207,192.168.1.4,80,TCP,428,0,connection
2026-02-17T02:56:34.393121,144.247.30.207,192.168.1.4,80,TCP,1946,0,connection
2026-02-17T02:56:34.393121,144.247.30.207,192.168.1.4,80,TCP,419,0,connection
2026-02-17T02:56:35.393121,144.247.30.207,192.168.1.4,80,TCP,4885,0,connection
2026-02-17T02:56:35.393121,144.247.30.207,192.168.1.4,80,TCP,206,0,connection
2026-02-17T02:56:35.393121,144.247.30.207,192.168.1.4,80,TCP,3367,0,connection
2026-02-17T02:56:35.393121,144.247.30.207,192.168.1.4,80,TCP,1218,0,connection
2026-02-17T02:56:36.393121,144.247.30.207,192.168.1.4,80,TCP,2812,0,connection
2026-02-17T02:56:36.393121,144.247.30.207,192.168.1.4,80,TCP,3073,0,connection
2026-02-17T02:56:36.393121,144.247.30.207,192.168.1.4,80,TCP,892,0,connection
2026-02-17T02:56:37.393121,144.247.30.207,192.168.1.4,80,TCP,3372,0,connection
2026-02-17T02:56:37.393121,144.247.30.207,192.168.1.4,80,TCP,2081,0,connection
2026-02-17T02:56:37.393121,144.247.30.207,192.168.1.4,80,TCP,3961,0,connection
2026-02-17T02:56:37.393121,144.247.30.207,192.168.1.4,80,TCP,68,0,connection
2026-02-17T02:56:38.393121,144.247.30.207,192.168.1.4,80,TCP,3937,0,connection
2026-02-17T02:56:38.393121,144.247.30.207,192.168.1.4,80,TCP,1403,0,connection
2026-02-17T02:56:38.393121,144.247.30.207,192.168.1.4,80,TCP,818,0,connection
2026-02-17T02:56:38.393121,144.247.30.207,192.168.1.4,80,TCP,4740,0,connection
2026-02-17T02:56:39.393121,144.247.30.207,192.168.1.4,80,TCP,3571,0,connection
2026-02-17T02:56:39.393121,144.247.30.207,192.168.1.4,80,TCP,1124,0,connection
2026-02-17T02:56:39.393121,144.247.30.207,192.168.1.4,80,TCP,746,0,connection
2026-02-17T02:56:40.393121,144.247.30.207,192.168.1.4,80,TCP,1149,0,connection
2026-02-17T02:56:40.393121,144.247.30.207,192.168.1.4,80,TCP,2950,0,connection
2026-02-17T02:56:40.393121,144.247.30.207,192.168.1.4,80,TCP,4352,0,connection
2026-02-17T02:56:40.393121,144.247.30.207,192.168.1.4,80,TCP,3095,0,connection
2026-02-17T02:56:40.393121,144.247.30.207,192.168.1.4,80,TCP,3131,0,connection
2026-02-17T02:56:40.393121,144.247.30.207,192.168.1.4,80,TCP,1034,0,connection
2026-02-17T02:56:40.393121,144.247.30.207,192.168.1.4,80,TCP,1723,0,connection
2026-02-17T02:56:41.393121,144.247.30.207,192.168.1.4,80,TCP,2474,0,connection
2026-02-17T02:56:42.393121,144.247.30.207,192.168.1.4,80,TCP,1920,0,connection
2026-02-17T02:56:42.393121,144.247.30.207,192.168.1.4,80,TCP,4261,0,connection
2026-02-17T02:56:42.393121,144.247.30.207,192.168.1.4,80,TCP,4097,0,connection
2026-02-17T02:56:42.393121,144.247.30.207,192.168.1.4,80,TCP,3014,0,connection
2026-02-17T02:56:42.393121,144.247.30.207,192.168.1.4,80,TCP,2305,0,connection
2026-02-17T02:56:43.393121,144.247.30.207,192.168.1.4,80,TCP,238,0,connection
2026-02-17T02:56:43.393121,144.247.30.207,192.168.1.4,80,TCP,2835,0,connection
2026-02-17T02:56:43.393121,144.247.30.207,192.168.1.4,80,TCP,738,0,connection
2026-02-17T02:56:43.393121,144.247.30.207,192.168.1.4,80,TCP,789,0,connection
2026-02-17T02:56:43.393121,144.247.30.207,192.168.1.4,80,TCP,3186,0,connection
2026-02-17T02:56:44.393121,144.247.30.207,192.168.1.4,80,TCP,3993,0,connection
2026-02-17T02:56:44.393121,144.247.30.207,192.168.1.4,80,TCP,3110,0,connection
2026-02-17T02:56:44.393121,144.247.30.207,192.168.1.4,80,TCP,379,0,connection
2026-02-17T02:56:44.393121,144.247.30.207,192.168.1.4,80,TCP,264,0,connection
2026-02-17T02:56:44.393121,144.247.30.207,192.168.1.4,80,TCP,1353,0,connection
2026-02-17T02:56:44.393121,144.247.30.207,192.168.1.4,80,TCP,118,0,connection
2026-02-17T02:56:45.393121,144.247.30.207,192.168.1.4,80,TCP,2146,0,connection
2026-02-17T02:56:46.393121,144.247.30.207,192.168.1.4,80,TCP,886,0,connection
2026-02-17T02:56:46.393121,144.247.30.207,192.168.1.4,80,TCP,3551,0,connection
2026-02-17T02:56:46.393121,144.247.30.207,192.168.1.4,80,TCP,1796,0,connection
2026-02-17T02:56:46.393121,144.247.30.207,192.168.1.4,80,TCP,703,0,connection
2026-02-17T02:56:48.393121,144.247.30.207,192.168.1.4,80,TCP,2376,0,connection
2026-02-17T02:56:48.393121,144.247.30.207,192.168.1.4,80,TCP,3171,0,connection
